id,type,title,bibcite_year,text_author,text_keyword,bibcite_secondary_title,bibcite_volume,bibcite_issue,bibcite_pages,bibcite_publisher,bibcite_isbn,bibcite_issn,bibcite_doi,bibcite_url,bibcite_citekey,status
16331,journal_article,"Wisdom and life satisfaction in old age",1997,"M. Ardelt","Gerontology & Aging, Psychology","Journal of Gerontology: Psychological Sciences",52,1,15-27,,,,,,,1
16332,journal_article,"The social self as gendered: A masculinist discourse of divorce",1992,"T. Arendell","Gender, Family, Identity","Symbolic Interaction",15,2,151-181,,,,,,,1
16333,journal_article,"On the context sensitivity of institutional interaction",2000,"I. Arminen",Discourse,"Discourse & Society",11,4,435-458,,,,,,,1
16334,journal_article,"Hearing silence: Organizing from an aesthetic perspective",2000,"K. Ashcraft","Language & Linguistics, Feminism","Human Studies",23,4,413-421,,,,,,,1
16335,book,"Autobiography and postmodernism",1994,,"Autobiography & Biography, Philosophy",,,,,"University of Massachusetts",,,,,,1
16336,book,"Autobiographical memory in longitudinal perspective: Stability and change of reported life-events over a five-year period",2006,"M. Assink","Memory & Reminiscence, Autobiography & Biography",,,,,"Vrije Universiteit",,,,,,1
16337,journal_article,"The self as a soliloquy",1994,"L. Athens","Philosophy, Sociology, Emotion, Identity","The Sociological Quarterly",35,3,521-532,,0038-0253,,,,,1
16338,book_chapter,"The life story interview",1998,"R. Atkinson","Life Story, Practice",,,,1-97,Sage,,,,,,1
16339,book,"The gift of stories : practical and spiritual applications of autobiography, life stories, and personal mythmaking",1995,"R. Atkinson","Autobiography & Biography, Life Story, Myth, Spirituality",,,,,"Bergin & Garvey","0897894308 9780897894302 089789443X 9780897894432",,,,,1
16340,book_chapter,"Universalizing your story: Personal mythmaking",1995,"R. Atkinson","Myth, Life Story",,,,83-106,"Bergin and Garvey",,,,,,1
16341,book_chapter,"Giving others their story: Doing a life story interview",1995,"R. Atkinson","Life Story, Practice",,,,115-134,"Bergin and Garvey",,,,,,1
16342,book_chapter,Afterthoughts,1995,"R. Atkinson","Spirituality, Autobiography & Biography, Myth, Life Story",,,,135-137,"Bergin and Garvey",,,,,,1
16343,book,"The gift of stories: Practical and spiritual applications of autobiography, life stories, and personal mythology",1995,"R. Atkinson","Life Story, Myth, Spirituality, Autobiography & Biography",,,,,"Bergin & Garvey",,,,,,1
16344,journal_article,"Changing subjects: growing up and growing older",1991,"J. Attanucci","Ethics & Morality, Education, Adolescence","Journal of Moral Education",20,3,317-328,,,,,,,1
16345,book,"The singularity of literature",2004,"D. Attridge","Literature, Theory, Culture, Ethics & Morality",,,,,Routledge,,,,,,1
16346,journal_article,"You punched him, didn t you? : Versions of violence in accusatory interviews",1995,"T. Auburn, S. Drake, C. Willig","Violence, Criminology","Discourse & Society",6,3,353-386,,,,,,,1
16347,book_chapter,"Conversations with men about women s violence: Ending men s violence by challenging gender essentialism",2007,"T. Augusta-Scott","Gender, Therapy, Violence, Women, Criminology",,,,197-210,Sage,,,,,,1
16348,book_chapter,"Challenging essentialist anti-oppressive discourse: Uniting against racism and sexism",2007,"T. Augusta-Scott","Gender, Sexuality, Race & Ethnicity, Therapy, Discourse",,,,211-226,Sage,,,,,,1
16349,book_chapter,"Letters from prison: Re-authoring identity with men who have perpetrated sexual violence",2007,"T. Augusta-Scott","Therapy, Violence, Identity, Sexuality, Criminology",,,,251-267,Sage,,,,,,1
16350,journal_article,"In whose voice? Composing a lifesong collaboratively",1991,"G. Aumann, T. Cole","Life Story, Autobiography & Biography, Medicine, Ethics & Morality","The Journal of Clinical Ethics",2,1,45-49,,,,,,,1
16351,book,"How to do things with words",1962,"J. Austin","Language & Linguistics, Philosophy",,,,,"Oxford University Press",,,,,,1
16352,journal_article,"The autobiography",1957,"C. Baird","Autobiography & Biography, Identity, Education","The Educational Digest",19,7,39-43,,,,,,,1
16353,book,"The dialogic imagination",1990,"M. Bakhtin","Literature, Language & Linguistics, Discourse",,,,,"University of Texas Press",,,,,,1
16354,book_chapter,"Discourse in the novel",1981,"Mikhail Bakhtin","Discourse, Literature, Narratology",,,,259-422,"University of Texas Press",,,,,,1
16355,book,"Narratology: Introduction to the theory of narrative",1998,"M. Bal",Narratology,,,,,"University of Toronto Press",,,,,,1
16356,book,"On story-telling: Essays in narratology",1991,"M. Bal",Narratology,,,,,"Polebridge Press",,,,,,1
16357,book_chapter,"Narration and focalization",1991,"M. Bal",Narratology,,,,75-108,"Polebridge Press",,,,,,1
16358,book,"Storycatcher : making sense of our lives through the power and practise of story",2007,"C. Baldwin","Life Story",,,,,"Publishers Group UK [distributor]","9781577316039 1577316037",,,,,1
16359,book,"Storycatcher: making sense of our lives through the power and practise of story",2005,"C. Baldwin","Life Story",,,,,"New World Library","9781577316039 1577316037",,,,,1
16360,journal_article,"Who am I? Narration and its contribution to self and identity",2011,"M. Bamberg","Identity, Psychology, Theory, Life Story","Theory & Psychology",21,1,3-24,,,,,,,1
16361,journal_article,"Who am I? Big or small—shallow or deep?",2011,"M. Bamberg","Identity, Practice, Research, Theory, Psychology","Theory & Psychology",21,1,122-129,,,,,,,1
16362,book_chapter,"Selves and identities in the making: The study of microgenetic processes in interactive practices",2008,"M. Bamberg",Identity,,,,205-224,"CRC Press",,,,,,1
16363,book,"Narrative - state of the art",2007,"M. Bamberg","Identity, Psychology, Therapy",,,,,"John Benjamins Pub. Co.","9789027222367 9027222363",,,,,1
16364,journal_article,"Introductory remarks",2006,"M. Bamberg",Education,"Narrative Inquiry",16,1,1-2,,,,,,,1
16365,book_chapter,"Biographic-narrative research, quo vadis? A critical review of ""big stories"" from the perspective of ""small stories""",2006,"M. Bamberg","Life Story, Autobiography & Biography, Research",,,,63-79,"University of Huddersfield Press",,,,,,1
16366,journal_article,"Stories: Big of small: Why do we care?",2006,"M. Bamberg","Life Story, Identity","Narrative Inquiry",16,1,139-147,,,,,,,1
16367,journal_article,"Talk, small stories, and adolescent identities",2004,"M. Bamberg","Adolescence, Children, Identity","Human Development",254,1,1-4,,,,,,,1
16368,journal_article,"I know it may sound mean to say this, but we couldn t really care less about her anyway : Form and functions of  slut bashing  in male identity constructions in 15-year-olds",2004,"M. Bamberg","Identity, Gender, Adolescence, Sexuality, Research, Subcultures","Human Development",249,1,1-23,,,,,,,1
16369,book_chapter,"Narrative discourse and identities",2004,"M. Bamberg","Identity, Discourse",,,,213-237,"Walter de Gruyter",,,,,,1
16370,book_chapter,"Positioning with Davie Hogan: Stories, tellings, and identities",2004,"M. Bamberg","Life Story, Identity",,,,135-157,SAGE,,,,,,1
16371,journal_article,"Critical personalism, language and development",2000,"M. Bamberg","Emotion, Theory, Psychology","Theory & Psychology",10,6,749-767,,,,10.1177/0959354300106003,,,1
16372,book_chapter,"A constructivist approach to narrative development",1997,"M. Bamberg",Theory,,,,89-132,"Lawrence Erlbaum Associates",,,,,,1
16373,book,"Oral versions of personal experience : three decades of narrative analysis",1997,"M. Bamberg","Life Story, Practice, Research, Psychology",,,,,Erlbaum,"0805898654 9780805898651",,,,,1
16374,book,"Narrative development : six approaches",1997,"M. Bamberg","Practice, Psychology, Theory",,,,,"L. Erlbaum Associates","0805820574 9780805820577 0805820582 9780805820584",,,,,1
16375,book,"Narrative development: Six approaches",1997,,"Theory, Research, Education",,,,,"Lawrence Erlbaum",,,,,,1
16376,book,"Language, concepts and emotions : the role of language in the construction of emotions",1996,"M. Bamberg","Emotion, Psychology",,,,,"Dept. of Psychology, Massey University",,,,,,1
16377,book,"The acquisition of narratives : learning to use language",1987,"M. Bamberg","Children, Theory, Research, Psychology, Literature",,,,,"Mouton de Gruyter","0899252850 9780899252858 3110111861 9783110111866",,,,,1
16378,miscellaneous,"Form and function in the construction of narratives : developmental perspectives",1985,"M. Bamberg",Theory,,,,,,,,,,,1
16379,journal_article,"Narrative analysis and identity research: A case for  small stories",,"M. Bamberg","Identity, Research, Autobiography & Biography",,,,,,,,,,,1
16380,book,"Considering counter narratives: Narrating, resisting, making sense",2004,"M. Bamberg, M. Andrews","Feminism, Psychology, Life Story, Race & Ethnicity",,,,,"J. Benjamins","9789027295026 9027295026",,,,,1
16381,book,"Selves and identities in narrative and discourse",2007,"M. Bamberg, A. De Fina, D. Schiffrin","Identity, Discourse",,,,,"John Benjamins Pub.","9789027226495 9027226490",,,,,1
16382,journal_article,"Small stories as a new perspective in narrative and identity analysis",2008,"M. Bamberg, A. Georgakopoulou","Life Story, Identity","Text & Talk: An Interdisciplinary Journal of Language, Discourse, & Communication Studies",28,3,377-396,,1860-7330,,,,,1
16383,book_chapter,"Emotion, narrative, and affect: How children discover the relationship between what to say and how to say it",1996,"M. Bamberg, J. Reilly","Emotion, Children, Education",,,,329-341,"Lawrence Erlbaum Associates",,,,,,1
16384,book,"Unspeakable sentences: Narration and representation in the language of fiction",1982,"Ann Banfield","Discourse, Narratology",,,,,Routledge,,,,,,1
16385,journal_article,"Ideological work: Health education at Hillside High",1999,"G. Banfield","Politics, Education, Adolescence","Journal of Contemporary Ethnography",28,2,138-165,,,,,,,1
16386,book,"Fiction and social research: By ice or fire",1998,,"Literature, Research, Anthropology",,,,,AltaMira,,,,,,1
16387,journal_article,"Once upon a time: Interpretation in literature and medicine",1982,"S. Banks","Literature, Medicine","Literature and Medicine",1,,23-27,,,,,,,1
16388,book,"Interpreting women s lives : feminist theory and personal narratives",1989,"J. Barbre","Feminism, Women, Life Story, Theory",,,,,"Indiana University Press","025333070X 9780253330703 0253205018 9780253205018",,,,,1
16389,book_chapter,"Autobiographical remembering: Narrative constraints on objectified selves",1996,"C. Barclay","Autobiography & Biography, Memory & Reminiscence, Trauma, Identity",,,,94-128,"Cambridge University Press",,,,,,1
16390,book,"The story I tell myself: A venture in existentialist autobiography",1997,"H. Barnes","Autobiography & Biography, Philosophy",,,,,"University of Chicago Press",,,,,,1
16391,book,"Writing the memoir: From truth to art",2002,"J. Barrington","Literature, Autobiography & Biography, Writing & Life Writing",,,,,"Eighth Mountain Press","0933377509 9780933377509 0933377517 9780933377516",,,,,1
16392,journal_article,"Autobiographical writing: An effective tool for practices with the oldest old",1988,"J. Barry","Writing & Life Writing, Autobiography & Biography, Gerontology & Aging","Social Work",33,,449-451,,,,,,,1
16393,book_chapter,"The content and organization of autobiographical memories",1988,"L. Barsalou","Memory & Reminiscence",,,,193-243,"Cambridge University Press",,,,,,1
16394,book_chapter,"The undergraduate theory course",2010,"R. Barsky","Narratology, Education",,,,33-45,"The Modern Language Association of America",,,,,,1
16395,book_chapter,"The death of the author",1988,"R. Barthes",Literature,,,,16-172,"Longman Publishing",,,,,,1
16396,book_chapter,"The reality effect",1982,"R. Barthes","Literature, Narratology",,,,11-17,"Cambridge University Press",,,,,,1
16397,book_chapter,"Introduction to the structural analysis of narratives",1977,"R. Barthes","Theory, Culture",,,,79-124,"Hill and Wang",,,,,,1
16398,journal_article,"An introduction to the structural analysis of narrative",1966,"R. Barthes",Narratology,"New Literary History",6,2,237-272,,,,,,,1
16399,book,"Remembering: A study in experimental and social psychology",1932,"F. Bartlett","Psychology, Memory & Reminiscence, Culture",,,,,"Cambridge University Press",,,,,,1
16400,journal_article,"Moral reasoning and Alzheimer s care: Exploring complex weavings through narrative",1993,"M. Bartlett, D. Brauner, B. Coats, S. England, L. Gaibel","Psychology, Ethics & Morality, Mental Health, Medicine","Journal of Aging Studies",7,4,409-421,,,,,,,1
16401,journal_article,"Creative literature: An aid to nursing practice",1989,"G. Bartol","Medicine, Literature, Caregiving, Nursing","Nursing and Health Care",10,8,453-457,,,,,,,1
16402,journal_article,"Story in nursing practice",1989,"G. Bartol","Medicine, Practice, Nursing, Caregiving, Life Story","Nursing and health care",10,8,564-565,,,,,,,1
16403,journal_article,"Looking back from loss: views of the self in Alzheimer s disease",2003,"A. Basting","Identity, Illness, Gerontology & Aging, Mental Health, Medicine, Suffering & Loss","Journal of aging studies",17,1,87-99,,0890-4065,,,,,1
16404,journal_article,"Reading the Story Behind the Story: Context and Content in Stories by People with Dementia ""Bill the Fisherman.""",2003,"A. Basting","Life Story, Mental Health, Illness, Gerontology & Aging","Generations : the journal of the Western Gerontological Society.",27,,25-29,,0738-7806,,,,,1
16405,book,"Inside out: An intro to autobiography",1937,"E. Bates","Autobiography & Biography, Identity",,,,,"Sheridan House",,,,,,1
16406,book,"Full circles, overlapping lives: Culture and generation in transition",2000,"M. Bateson","Anthropology, Identity, Community",,,,,"Random House",,,,,,1
16407,book,"Peripheral visions: Learning along the way",1995,"M. Bateson","Anthropology, Education, Culture",,,,,"Harper Perennial",,,,,,1
16408,journal_article,"Narrative, Adaptation, and Change",2007,"M. Bateson","Community, Sociology, Theory, History","Interchange: A Quarterly Review of Education",38,3,213-222,,0826-4805,,,,,1
16409,book_chapter,"Composing a life",1995,"M. Bateson","Life Story, Spirituality, Writing & Life Writing",,,,39-52,HarperCollins,,,,,,1
16410,miscellaneous,"Men and women in a changing world: composing a life",1994,"M. Bateson","Gender, Writing & Life Writing, Culture",,,,,,,,,,,1
16411,book,"Composing a life",1990,"M. Bateson","Autobiography & Biography, Literature, Women, Writing & Life Writing, Art",,,,,Plume,"0452265053 9780452265059",,,,,1
16412,book,"Verbal art as performance",1977,"R. Bauman","Language & Linguistics, Culture",,,,,Waveland,,,,,,1
16413,book,"Story, performance, and event: Contexual studies of oral narrative",1986,"Richard Bauman","Oral History, Theory",,,,,"Cambridge University Press",,,,,,1
16414,book,"Adult learning and development: Multicultural stories",2000,,"Identity, Family, Culture",,,,,Krieger,,,,,,1
16415,book,"Confiding : a psychotherapist and her patients search for stories to live by",1994,"S. Baur","Therapy, Psychology, Life Story",,,,,HarperCollins,"0060182385 9780060182380",,,,,1
16416,book,"The dinosaur man: Tales of madness and enchantment from the back ward",1991,"S. Baur","Psychology, Mental Health",,,,,HarperCollins,,,,,,1
16417,journal_article,"Listener as co-narrators",2000,"J. Bavelas, L. Coates, T. Johnson","Psychology, Sociology, Theory, Research","Journal of Personality and Social Psychology",79,6,941-952,,,,10.1037//0022-3514.79.6.941,,,1
16418,journal_article,"Interpersonal Relations and Group Processes - Listeners as Co-Narrators",2000,"Janet Bavelas, Linda Coates, Trudy Johnson","Therapy, Practice","Journal of personality and social psychology.",79,6,941,,0022-3514,,,,,1
16419,journal_article,"SELF, NARRATIVE AND SELF-CONSTITUTION: REVISITING TAYLOR S “SELF-INTERPRETING ANIMALS”",2010,"KENNETH BAYNES",,"PHIL The Philosophical Forum",41,4,441-457,,0031-806X,,,,,1
16420,book_chapter,"Stories in the postmodern world: Orienting and disorienting",1990,"W. Beardslee","Literature, Theory, Postmodernism, Spirituality, Life Story",,,,163-175,"State University of New York Press",,,,,,1
16421,book_chapter,"Challenging ""ordinary"" pain: Narratives of older people who live with pain",2001,"B. Becker","Gerontology & Aging, Illness, Medicine, Life Story",,,,91-112,Springer,,,,,,1
16422,journal_article,"Narratives of pain in later life and conventions of storytelling",1999,"B. Becker","Gerontology & Aging, Life Story, Medicine, Illness","Journal of Aging Studies",13,1,73-88,,08904065,,,,,1
16423,book,"Darwin s plots: evolutionary narrative in Darwin, George Eliot, and nineteenth-century fiction",2009,"G. Beer","Science, Literature",,,,,"Cambridge University Press",,,,,,1
16424,conference_proceedings,"The self and memory: evolving concepts",2004,"Denise Beike, James Lampinen, Douglas Behrend","Identity, Memory & Reminiscence",,,,,"Psychology Press","1841690783 9781841690780 9780203337974 0203337972",,,,,1
16425,journal_article,"Styling the other to define the self: A study in New Zealand identity making",1999,"A. Bell","Identity, Subcultures, Race & Ethnicity, Art, Theory, Culture","Journal of Sociolinguistics",3,4,523-541,,,,10.1111/1467-9481.00094,,,1
16426,journal_article,"The angst of the everyday: Using narrative to provoke an affective understanding of adolescence",2011,"K. Bell","Adolescence, Ethics & Morality","Narrative Works: Issues, Investigations, and Interventions",1,2,21-33,,,,,,,1
16427,book,"Bakhtin and the human sciences: No last words",1998,,"Theory, Philosophy",,,,,Sage,,,,,,1
16428,book_chapter,"How primordial is narrative?",1994,"Michael Bell",Theory,,,,172-198,Routledge,,,,,,1
16429,book,"Life notes: Personal writings by contemporary black women",1994,,"Race & Ethnicity, Women, Memory & Reminiscence, Writing & Life Writing",,,,,"W. W. Norton",,,,,,1
16430,book,"Cutural memory and the construction of identity",1999,,"Culture, Memory & Reminiscence, Identity",,,,,"Wayne State University Press",,,,,,1
16431,book_chapter,"Bakhtinian perspectives on  everyday life  sociology",1998,"C. Bender",Sociology,,,,181-195,Sage,,,,,,1
16432,book,"The therapeutic purposes of reminscence",1999,"M. Bender, P. Bauchkan, A. Norris","Autobiography & Biography, Memory & Reminiscence",,,,,Sage,,,,,,1
16433,conference_proceedings,"Handbook of theories of aging",1999,"V. Bengtson, K. Schaie","Gerontology & Aging, Theory",,,,,"Springer Pub. Co.","082611234X 9780826112347",,,,,1
16434,book_chapter,"The storyteller: Reflections on the works of Nikolai Leskov",1969,"Walter Benjamin","Storytelling, Life Story, Theory",,,,83-109,"Schocken Books",,,,,,1
